FID,AREA,PERIMETER,name,x,y,val
0,0,0,东方市,108.6330032,19.0976009,0
1,0,0,临高县,109.685997,19.9185009,0
2,0,0,儋州市,109.5759964,19.5188999,0
3,0,0,昌江黎族自治县,109.0479965,19.2590008,0
4,0,0,白沙黎族自治县,109.447998,19.2362995,0
5,0,0,琼中黎族苗族自治县,109.8399963,19.0482998,0
6,0,0,澄迈县,110.0139999,19.7413998,0
7,0,0,定安县,110.3180008,19.7028999,0
8,0,0,文昌市,110.7559967,19.6212997,0
9,0,0,屯昌县,110.0940018,19.3645992,0
10,0,0,琼海市,110.4629974,19.2472992,0
11,0,0,通什市,109.5159988,18.7700996,0
12,0,0,乐东黎族自治县,109.1729965,18.7469997,0
13,0,0,保亭黎族苗族自治县,109.6959991,18.6410007,0
14,0,0,万宁市,110.4079971,18.8010006,0
15,0,0,陵水黎族自治县,110.0339966,18.5056992,0
16,0,0,镇康县,99.0263977,23.8829994,0
17,0,0,耿马傣族佤族自治县,99.3963013,23.5408993,0
18,0,0,双江拉祜族佤族布朗族傣族自治县,99.8261032,23.4727001,0
19,0,0,沧源佤族自治县,99.2451019,23.1536007,0
20,0,0,镇沅彝族哈尼族拉祜族自治县,100.8850021,23.8722992,0
21,0,0,景谷傣族彝族自治县,100.6989975,23.4995003,0
22,0,0,墨江哈尼族自治县,101.6949997,23.4365005,0
23,0,0,普洱哈尼族彝族自治县,101.0370026,23.0673008,0
24,0,0,西盟佤族自治县,99.4608002,22.7399998,0
25,0,0,把本,99.7494965,22.6359005,0
26,0,0,澜沧拉祜族自治县,99.9296036,22.5655003,0
27,0,0,孟连傣族拉祜族佤族自治县,99.5917969,22.3404007,0
28,0,0,拉嘎,99.5623016,22.2511005,0
29,0,0,江城哈尼族彝族自治县,101.8619995,22.5932999,0
30,0,0,旧过,100.0770035,21.9880009,0
31,0,0,勐海县,100.4530029,21.9682999,0
32,0,0,勐腊县,101.5619965,21.4911003,0
33,0,0,翁戛科,99.4634018,22.5112991,0
34,0,0,象明,101.3199997,22.1284008,0
35,0,0,石屏县,102.487999,23.7194996,0
36,0,0,建水县,102.8219986,23.625,0
37,0,0,元江哈尼族彝族傣族自治县,102.0059967,23.6044998,0
38,0,0,红河县,102.4189987,23.3754005,0
39,0,0,元阳县,102.7429962,23.1685009,0
40,0,0,开远市,103.2340012,23.7154007,0
41,0,0,蒙自县,103.3929977,23.3703995,0
42,0,0,砚山县,104.3320007,23.6135006,0
43,0,0,西畴县,104.6679993,23.4431,0
44,0,0,麻栗坡县,104.6920013,23.1226997,0
45,0,0,马关县,104.3880005,23.0132999,0
46,0,0,富宁县,105.6119995,23.6317005,0
47,0,0,那坡县,105.8399963,23.4132004,0
48,0,0,田阳县,106.9089966,23.7343006,0
49,0,0,德保县,106.6080017,23.3327999,0
50,0,0,靖西县,106.4160004,23.1424999,0
51,0,0,大化瑶族自治县,107.9909973,23.7495003,0
52,0,0,田东县,107.1139984,23.6061001,0
53,0,0,平果县,107.5699997,23.3253002,0
54,0,0,隆安县,107.6849976,23.1786003,0
55,0,0,天等县,107.1320038,23.0851994,0
56,0,0,绿春县,102.4020004,23.0007,0
57,0,0,屏边苗族自治县,103.6790009,22.9866009,0
58,0,0,金平苗族瑶族傣族自治县,103.2220001,22.7877998,0
59,0,0,河口瑶族自治县,103.9589996,22.5191994,0
60,0,0,龙州县,106.8499985,22.3521004,0
61,0,0,凭祥市,106.7539978,22.1124001,0
62,0,0,大新县,107.1949997,22.8414993,0
63,0,0,扶绥县,107.9049988,22.6438007,0
64,0,0,崇左县,107.3550034,22.4206009,0
65,0,0,上思县,107.9789963,22.1530991,0
66,0,0,宁明县,107.0630035,22.1389008,0
67,0,0,都安瑶族自治县,108.0940018,23.9353008,0
68,0,0,合山市,108.8740005,23.8022995,0
69,0,0,马山县,108.1750031,23.7147999,0
70,0,0,上林县,108.5910034,23.4426003,0
71,0,0,宾阳县,108.8099976,23.2173004,0
72,0,0,武鸣县,108.276001,23.1672001,0
73,0,0,象州县,109.6829987,23.9584999,0
74,0,0,来宾县,109.2330017,23.7318993,0
75,0,0,武宣县,109.6549988,23.5972004,0
76,0,0,平南县,110.3949966,23.5503998,0
77,0,0,桂平市,110.0719986,23.3950005,0
78,0,0,藤县,110.9039993,23.3736,0
79,0,0,封开县,111.5080032,23.4456005,0
80,0,0,苍梧县,111.2409973,23.4223995,0
81,0,0,郁南县,111.5220032,23.2427006,0
82,0,0,德庆县,111.7710037,23.1471996,0
83,0,0,怀集县,112.1790009,23.9127007,0
84,0,0,广宁县,112.4309998,23.6431999,0
85,0,0,四会市,112.6949997,23.3491993,0
86,0,0,三水市,112.8860016,23.1662998,0
87,0,0,高要市,112.4530029,23.0573997,0
88,0,0,佛冈县,113.5309982,23.8724003,0
89,0,0,从化市,113.5810013,23.5559006,0
90,0,0,花县,113.2030029,23.3773003,0
91,0,0,增城市,113.8290024,23.2929993,0
92,0,0,邕宁县,108.487999,22.7542992,0
93,0,0,横县,109.2669983,22.6933994,0
94,0,0,灵山县,109.288002,22.4349995,0
95,0,0,博白县,109.9720001,22.2763004,0
96,0,0,浦北县,109.5400009,22.2702999,0
97,0,0,岑溪市,111.0009995,22.9295006,0
98,0,0,容县,110.5510025,22.8640003,0
99,0,0,北流市,110.3479996,22.7145996,0
100,0,0,信宜市,110.939003,22.3638992,0
101,0,0,陆川县,110.2669983,22.3257008,0
102,0,0,罗定市,111.5709991,22.7674007,0
103,0,0,阳春市,111.7910004,22.1763,0
104,0,0,云浮市,112.0400009,22.9335995,0
105,0,0,高明市,112.848999,22.8894997,0
106,0,0,鹤山市,112.9580002,22.7663002,0
107,0,0,新兴县,112.2249985,22.7033997,0
108,0,0,开平市,112.6920013,22.3757992,0
109,0,0,台山市,112.7949982,22.2518005,0
110,0,0,恩平市,112.3079987,22.1924,0
111,0,0,番禺区,113.3659973,22.9442005,0
112,0,0,顺德县,113.2539978,22.8483009,0
113,0,0,宝安区,113.8759995,22.5771008,0
114,0,0,新会市,113.0390015,22.5270004,0
115,0,0,斗门县,113.288002,22.2127991,0
116,0,0,防城各族自治县,108.3570023,21.7693996,0
