D:\try\000000\0\2016_s2.tif,D:\try\000000\0\2016_dynamicWorld.tif,3384
D:\try\000000\0\2017_s2.tif,D:\try\000000\0\2017_dynamicWorld.tif,0
D:\try\000000\0\2021_s2.tif,D:\try\000000\0\2021_dynamicWorld.tif,0
D:\try\000000\1\2016_s2.tif,D:\try\000000\1\2016_dynamicWorld.tif,3
D:\try\000000\1\2018_s2.tif,D:\try\000000\1\2018_dynamicWorld.tif,0
D:\try\000000\1\2021_s2.tif,D:\try\000000\1\2021_dynamicWorld.tif,0
D:\try\000000\10\2017_s2.tif,D:\try\000000\10\2017_dynamicWorld.tif,0
D:\try\000000\10\2018_s2.tif,D:\try\000000\10\2018_dynamicWorld.tif,0
D:\try\000000\10\2019_s2.tif,D:\try\000000\10\2019_dynamicWorld.tif,0
D:\try\000000\11\2016_s2.tif,D:\try\000000\11\2016_dynamicWorld.tif,0
D:\try\000000\11\2017_s2.tif,D:\try\000000\11\2017_dynamicWorld.tif,0
D:\try\000000\11\2020_s2.tif,D:\try\000000\11\2020_dynamicWorld.tif,0
D:\try\000000\12\2016_s2.tif,D:\try\000000\12\2016_dynamicWorld.tif,0
D:\try\000000\12\2017_s2.tif,D:\try\000000\12\2017_dynamicWorld.tif,0
D:\try\000000\12\2018_s2.tif,D:\try\000000\12\2018_dynamicWorld.tif,0
D:\try\000000\13\2017_s2.tif,D:\try\000000\13\2017_dynamicWorld.tif,961
D:\try\000000\13\2018_s2.tif,D:\try\000000\13\2018_dynamicWorld.tif,987
D:\try\000000\13\2021_s2.tif,D:\try\000000\13\2021_dynamicWorld.tif,921
D:\try\000000\14\2016_s2.tif,D:\try\000000\14\2016_dynamicWorld.tif,98
D:\try\000000\14\2019_s2.tif,D:\try\000000\14\2019_dynamicWorld.tif,0
D:\try\000000\14\2020_s2.tif,D:\try\000000\14\2020_dynamicWorld.tif,0
D:\try\000000\15\2017_s2.tif,D:\try\000000\15\2017_dynamicWorld.tif,47
D:\try\000000\15\2018_s2.tif,D:\try\000000\15\2018_dynamicWorld.tif,42
D:\try\000000\15\2019_s2.tif,D:\try\000000\15\2019_dynamicWorld.tif,68
D:\try\000000\16\2017_s2.tif,D:\try\000000\16\2017_dynamicWorld.tif,0
D:\try\000000\16\2018_s2.tif,D:\try\000000\16\2018_dynamicWorld.tif,0
D:\try\000000\16\2021_s2.tif,D:\try\000000\16\2021_dynamicWorld.tif,0
D:\try\000000\17\2016_s2.tif,D:\try\000000\17\2016_dynamicWorld.tif,0
D:\try\000000\17\2017_s2.tif,D:\try\000000\17\2017_dynamicWorld.tif,0
D:\try\000000\17\2019_s2.tif,D:\try\000000\17\2019_dynamicWorld.tif,0
D:\try\000000\18\2017_s2.tif,D:\try\000000\18\2017_dynamicWorld.tif,0
D:\try\000000\18\2019_s2.tif,D:\try\000000\18\2019_dynamicWorld.tif,0
D:\try\000000\18\2020_s2.tif,D:\try\000000\18\2020_dynamicWorld.tif,0
D:\try\000000\19\2017_s2.tif,D:\try\000000\19\2017_dynamicWorld.tif,0
D:\try\000000\19\2018_s2.tif,D:\try\000000\19\2018_dynamicWorld.tif,0
D:\try\000000\19\2020_s2.tif,D:\try\000000\19\2020_dynamicWorld.tif,191
D:\try\000000\2\2016_s2.tif,D:\try\000000\2\2016_dynamicWorld.tif,0
D:\try\000000\2\2017_s2.tif,D:\try\000000\2\2017_dynamicWorld.tif,0
D:\try\000000\2\2021_s2.tif,D:\try\000000\2\2021_dynamicWorld.tif,0
D:\try\000000\20\2016_s2.tif,D:\try\000000\20\2016_dynamicWorld.tif,0
D:\try\000000\20\2018_s2.tif,D:\try\000000\20\2018_dynamicWorld.tif,0
D:\try\000000\20\2020_s2.tif,D:\try\000000\20\2020_dynamicWorld.tif,0
D:\try\000000\21\2016_s2.tif,D:\try\000000\21\2016_dynamicWorld.tif,0
D:\try\000000\21\2020_s2.tif,D:\try\000000\21\2020_dynamicWorld.tif,0
D:\try\000000\21\2021_s2.tif,D:\try\000000\21\2021_dynamicWorld.tif,0
D:\try\000000\22\2016_s2.tif,D:\try\000000\22\2016_dynamicWorld.tif,0
D:\try\000000\22\2018_s2.tif,D:\try\000000\22\2018_dynamicWorld.tif,0
D:\try\000000\22\2021_s2.tif,D:\try\000000\22\2021_dynamicWorld.tif,0
D:\try\000000\23\2017_s2.tif,D:\try\000000\23\2017_dynamicWorld.tif,454
D:\try\000000\23\2019_s2.tif,D:\try\000000\23\2019_dynamicWorld.tif,577
D:\try\000000\23\2020_s2.tif,D:\try\000000\23\2020_dynamicWorld.tif,520
D:\try\000000\24\2016_s2.tif,D:\try\000000\24\2016_dynamicWorld.tif,0
D:\try\000000\24\2018_s2.tif,D:\try\000000\24\2018_dynamicWorld.tif,0
D:\try\000000\24\2020_s2.tif,D:\try\000000\24\2020_dynamicWorld.tif,0
D:\try\000000\25\2016_s2.tif,D:\try\000000\25\2016_dynamicWorld.tif,0
D:\try\000000\25\2017_s2.tif,D:\try\000000\25\2017_dynamicWorld.tif,0
D:\try\000000\25\2021_s2.tif,D:\try\000000\25\2021_dynamicWorld.tif,0
D:\try\000000\26\2017_s2.tif,D:\try\000000\26\2017_dynamicWorld.tif,0
D:\try\000000\26\2018_s2.tif,D:\try\000000\26\2018_dynamicWorld.tif,0
D:\try\000000\26\2020_s2.tif,D:\try\000000\26\2020_dynamicWorld.tif,0
D:\try\000000\27\2018_s2.tif,D:\try\000000\27\2018_dynamicWorld.tif,0
D:\try\000000\27\2020_s2.tif,D:\try\000000\27\2020_dynamicWorld.tif,0
D:\try\000000\27\2021_s2.tif,D:\try\000000\27\2021_dynamicWorld.tif,0
D:\try\000000\28\2017_s2.tif,D:\try\000000\28\2017_dynamicWorld.tif,0
D:\try\000000\28\2019_s2.tif,D:\try\000000\28\2019_dynamicWorld.tif,0
D:\try\000000\28\2020_s2.tif,D:\try\000000\28\2020_dynamicWorld.tif,0
D:\try\000000\29\2018_s2.tif,D:\try\000000\29\2018_dynamicWorld.tif,0
D:\try\000000\29\2019_s2.tif,D:\try\000000\29\2019_dynamicWorld.tif,0
D:\try\000000\29\2021_s2.tif,D:\try\000000\29\2021_dynamicWorld.tif,0
D:\try\000000\3\2017_s2.tif,D:\try\000000\3\2017_dynamicWorld.tif,1381
D:\try\000000\3\2019_s2.tif,D:\try\000000\3\2019_dynamicWorld.tif,884
D:\try\000000\3\2021_s2.tif,D:\try\000000\3\2021_dynamicWorld.tif,994
D:\try\000000\30\2018_s2.tif,D:\try\000000\30\2018_dynamicWorld.tif,137
D:\try\000000\30\2019_s2.tif,D:\try\000000\30\2019_dynamicWorld.tif,90
D:\try\000000\30\2020_s2.tif,D:\try\000000\30\2020_dynamicWorld.tif,205
D:\try\000000\31\2017_s2.tif,D:\try\000000\31\2017_dynamicWorld.tif,0
D:\try\000000\31\2018_s2.tif,D:\try\000000\31\2018_dynamicWorld.tif,0
D:\try\000000\31\2019_s2.tif,D:\try\000000\31\2019_dynamicWorld.tif,0
D:\try\000000\32\2016_s2.tif,D:\try\000000\32\2016_dynamicWorld.tif,0
D:\try\000000\32\2018_s2.tif,D:\try\000000\32\2018_dynamicWorld.tif,0
D:\try\000000\32\2019_s2.tif,D:\try\000000\32\2019_dynamicWorld.tif,0
D:\try\000000\33\2017_s2.tif,D:\try\000000\33\2017_dynamicWorld.tif,0
D:\try\000000\33\2018_s2.tif,D:\try\000000\33\2018_dynamicWorld.tif,0
D:\try\000000\33\2020_s2.tif,D:\try\000000\33\2020_dynamicWorld.tif,2
D:\try\000000\34\2016_s2.tif,D:\try\000000\34\2016_dynamicWorld.tif,0
D:\try\000000\34\2018_s2.tif,D:\try\000000\34\2018_dynamicWorld.tif,0
D:\try\000000\34\2020_s2.tif,D:\try\000000\34\2020_dynamicWorld.tif,0
D:\try\000000\35\2017_s2.tif,D:\try\000000\35\2017_dynamicWorld.tif,0
D:\try\000000\35\2018_s2.tif,D:\try\000000\35\2018_dynamicWorld.tif,0
D:\try\000000\35\2020_s2.tif,D:\try\000000\35\2020_dynamicWorld.tif,0
D:\try\000000\36\2016_s2.tif,D:\try\000000\36\2016_dynamicWorld.tif,0
D:\try\000000\36\2018_s2.tif,D:\try\000000\36\2018_dynamicWorld.tif,0
D:\try\000000\36\2021_s2.tif,D:\try\000000\36\2021_dynamicWorld.tif,0
D:\try\000000\37\2017_s2.tif,D:\try\000000\37\2017_dynamicWorld.tif,0
D:\try\000000\37\2020_s2.tif,D:\try\000000\37\2020_dynamicWorld.tif,0
D:\try\000000\37\2021_s2.tif,D:\try\000000\37\2021_dynamicWorld.tif,0
D:\try\000000\38\2016_s2.tif,D:\try\000000\38\2016_dynamicWorld.tif,0
D:\try\000000\38\2018_s2.tif,D:\try\000000\38\2018_dynamicWorld.tif,0
D:\try\000000\38\2019_s2.tif,D:\try\000000\38\2019_dynamicWorld.tif,0
D:\try\000000\39\2017_s2.tif,D:\try\000000\39\2017_dynamicWorld.tif,0
D:\try\000000\39\2018_s2.tif,D:\try\000000\39\2018_dynamicWorld.tif,0
D:\try\000000\39\2021_s2.tif,D:\try\000000\39\2021_dynamicWorld.tif,0
D:\try\000000\4\2016_s2.tif,D:\try\000000\4\2016_dynamicWorld.tif,0
D:\try\000000\4\2019_s2.tif,D:\try\000000\4\2019_dynamicWorld.tif,0
D:\try\000000\4\2021_s2.tif,D:\try\000000\4\2021_dynamicWorld.tif,0
D:\try\000000\40\2019_s2.tif,D:\try\000000\40\2019_dynamicWorld.tif,0
